Subject	ISI	Target_Type	Set_Size	ACCURACY	REACTION_TIME
1	0	old	4	1	715
1	0	old	4	1	578
1	0	old	3	1	588
1	0	old	2	1	517
1	0	new	2	1	374
1	0	old	3	1	629
1	0	new	2	1	589
1	0	old	3	1	558
1	0	new	4	1	471
1	0	old	2	0	428
1	0	old	3	1	694
1	0	new	2	1	428
1	0	old	4	1	638
1	0	new	3	1	499
1	0	old	3	1	741
1	0	old	3	1	585
1	0	new	4	1	496
1	0	old	3	1	544
1	0	new	3	1	528
1	0	new	4	1	754
1	0	new	2	1	708
1	0	old	4	1	804
1	0	old	4	1	584
1	0	old	4	1	674
1	0	old	4	1	529
1	0	old	4	1	567
1	0	new	4	1	496
1	0	old	2	1	758
1	0	new	4	1	457
1	0	new	2	1	506
1	0	old	3	1	549
1	0	old	4	1	545
1	0	old	4	1	595
1	0	new	2	0	543
1	0	old	4	1	760
1	0	old	2	1	572
1	0	new	3	1	488
1	0	old	4	1	604
1	0	new	2	1	540
1	0	old	3	1	562
1	0	old	3	1	953
1	0	old	4	1	773
1	0	old	4	1	771
1	0	new	3	1	495
1	0	old	4	1	645
1	0	new	4	1	502
1	0	new	3	1	497
1	0	old	4	1	617
1	0	old	4	1	590
1	0	new	4	1	655
1	0	new	3	1	594
1	0	old	4	1	631
1	0	new	4	1	554
1	0	old	3	1	541
1	0	old	4	1	595
1	0	old	4	1	604
1	0	new	4	1	521
1	0	old	3	1	576
1	0	new	2	1	539
1	0	new	3	1	472
1	0	old	2	1	512
1	0	old	2	1	869
1	0	old	3	1	709
1	0	old	4	1	679
1	0	old	3	1	596
1	0	old	4	1	884
1	0	old	3	1	835
1	0	new	3	1	596
1	0	old	3	1	706
1	0	new	2	1	484
1	0	old	3	1	907
1	0	old	3	1	624
1	0	old	3	1	593
1	0	old	4	1	540
1	0	old	4	1	615
1	0	new	3	1	702
1	0	new	4	1	512
1	0	old	2	1	504
1	0	old	4	1	582
1	0	old	2	1	581
1	0	old	4	1	442
1	0	old	2	1	488
1	0	new	2	1	499
1	0	new	3	1	610
1	0	old	4	1	700
1	0	old	4	1	522
1	0	old	3	1	486
1	0	old	4	1	552
1	0	old	2	1	611
1	0	old	4	1	556
1	200	new	3	1	500
1	200	new	3	1	523
1	200	old	3	1	499
1	200	old	4	1	444
1	200	new	3	1	598
1	200	old	4	1	500
1	200	old	3	1	749
1	200	new	2	1	537
1	200	old	3	1	615
1	200	new	4	1	644
1	200	new	2	1	534
1	200	old	2	1	516
1	200	old	4	1	524
